Comune;Provincia;Localit ;Tipologia;Tipologia secondaria;Categoria;Stelle;Denominazione;Indirizzo;Numero civico;Interno;CAP;Telefono;FAX;Posta elettronica;Sito internet;Zona;Accesso ai disabili;Piscina;Piscina coperta;Ristorante;Parcheggio;Sala conferenze;Aria condizionata;Giochi bimbi;Sauna;Solarium;Fitness;Animali ammessi;Centro storico;Zona fiera;Lago;Aeroporto;Autostrada;Impianti risalita;Stazione FS;Mare;Termale;Periferia;Collinare;Inglese;Francese;Tedesco;Spagnolo;Chiusura temporanea;Altri servizi;Codice identificativo;Data ultima modifica;Nuova classificazione LR11
AFFI;VERONA;;BED AND BREAKFAST;;;;BIANCALEO;Via Don Calabria;2/B;;37010;348/5816121;045/6267698;kube.fra@tiscali.it;www.biancaleo.it;garda;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;noleggio biciclette;84100;42625;5 Leoni
AFFI;VERONA;;BED AND BREAKFAST;;;;BIKER ERICH;Via Don Bosco;34;;37010;0457238261;;zaechvollmer@alice.it;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;No;Si;Si;Si;Si;No;Si;No;No;;49453;41159;
AFFI;VERONA;;BED AND BREAKFAST;;;;CORTE CASTELLO B & B;Via Incaffi;11;;37010;045/6260278;;cortecastelloincaffi@gmail.com;;garda;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;No;;100343;42593;5 Leoni
AFFI;VERONA;;BED AND BREAKFAST;;;;DAL GUERRO;Via della Repubblica;2;;37010;045/7236461  3343445926;;guerrino@speriguerrino.it;www.speriguerrino.it;garda;No;No;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;Si;No;No;No;No;No;Si;No;No;No;No;No;;800;41192;
AFFI;VERONA;;BED AND BREAKFAST;;;;LE COCCHE;localit  Cocche;2;;37010;329 3839910;;micheledeguidi@libero.it;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;117368;43020;2 Leoni
AFFI;VERONA;;BED AND BREAKFAST;;;;LE MURETTE;Via Monte Baldo;49;;37010;045 6200286;;info@bblemurette.it;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;193862;42985;4 Leoni
AFFI;VERONA;;BED AND BREAKFAST;;;;SETTESTELLE;Via Don Calabria;2/A;;37010;347/7043992;045/6267698;santenicola@libero.it;;garda;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;No;No;Si;No;No;No;No;No;No;Si;No;No;Si;No;noleggio biciclette;84040;42625;4 Leoni
ALBAREDO D\'ADIGE;VERONA;;AFFITTACAMERE;;3;;LOCANDA DELL\'ARCIMBOLDO;Via Gennari;5 - Coriano;;37041;0457025300;0457025201;info@locandadellarcimboldo.it;www.locandadellarcimboldo.it;verona;No;No;No;Si;Si;No;Si;No;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;LAVANDERIA A PAGAMENTO;309;41332;
ARCOLE;VERONA;;APPARTAMENTO;;;;ALLOGGI ZUGLIANI;Via Garibaldi;41;;37040;045/7635765;;info@alloggizugliani.it;;verona;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;parcheggio non custodito,;180027;42893;2 Leoni
ARCOLE;VERONA;;BED AND BREAKFAST;;;;ARTEMIDE;Via Motte Crosaron;41  Loc. Gazzolo;;37040;392 5101539 - 340 5546962;045/6180148;info@bbartemide.it;www.bbartemide.it;verona;No;No;No;No;Si;No;Si;Si;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;"internet (wi-fi); tv in camera.";86300;42660;4 Leoni
ARCOLE;VERONA;;BED AND BREAKFAST;;;;BED AND BREAKFAST ANTICA CORTE RUFFO;Via Rosario;50;;37040;340/6351262;;francesca.gueresi@alice.it;www.anticacorteruffo.com;verona;No;No;No;No;Si;No;Si;Si;No;No;No;Si;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;;110462;42650;3 Leoni
ARCOLE;VERONA;;BED AND BREAKFAST;;;;IL CONTE;Piazza Gazzolo;31 lOC. gAZZOLO;;37040;348 7210991;;info@bbilconte.com;www.bbilconte.com;verona;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;86380;42625;3 Leoni
ARCOLE;VERONA;;BED AND BREAKFAST;;;;LA MANSARDA;Via Cimitero;3;;37040;338/3748967;;michela.zecchin@diesseweb.it;;verona;No;No;No;No;No;No;No;Si;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;No;No;tv - wi-Fi;99682;42243;3 Leoni
BADIA CALAVENA;VERONA;;AGRITURISMO;;;;AGRITURISMO CORNO MARANI;Via Lupatini;1;;37030;045 - 6500536;045 - 6508259;corno.marani@tiscali.it;;verona;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;47296;40772;
BADIA CALAVENA;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO CA\' DEL DIAOLO;Via C  del Diavolo;4/b;;37030;0457810700;0457810700;ca.deldiaolo@tiscali.it;www.cadeldiaolo.it;verona;No;No;No;Si;Si;No;Si;Si;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;Si;No;No;No;No;No;;2707;42747;2 **
BADIA CALAVENA;VERONA;;ALTRA RICETTIVITA\';Ostello per la giovent ;;;OSTELLO LA SOSTA;PIAZZA SANT\'ANDREA;8;;37030;0456510077;0454850945;ostellolasosta@ecolessinia.it;www.ostellolasosta.com;verona;Si;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;;51336;42894;
BARDOLINO;VERONA;;AFFITTACAMERE;;;;BARDOLINERS;Via Palestro;25;;37011;045 6211008;045 8752093;info@bardoliners.com;www.bardoliners.com;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;No;Si;No;Si;No;No;accettazione gruppi, sala tv, wi-fi;195885;42923;2 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;AFFITTACAMERE ALESSIO;Via Vasco de Gama;42804;;37011;0457210698;0457210698;alessiocamere@alessiocamere.it;www.alessiocamere.it;garda;No;No;No;No;Si;No;Si;Si;No;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;TV SATELLITARE APPARECCHIO TV IN SALA - FRIGO BAR;326;42828;2 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;AFFITTACAMERE BARDOLINO;VIA MONTEBALDO,;2;;37011;0456267052 - 3497703571;045 6267916;bebbardolino@yahoo.it;;garda;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;Si;Si;Si;No;No;No;No;;103822;41967;
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;CAMERE LA COLOMBARA;Via Monsurei;4;;37011;0456210051;0456210051;info@lacolombaracamere.it;www.lacolombaracamere.it;garda;No;No;No;No;Si;No;Si;Si;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;No;Si;No;piscina-biciclette-internet;64560;42765;3 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;CASA AI POGGI;Via dei Poggi;1;;37011;0457210822;0456212520;al-sole@kriss.it;www.alsole.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;312;42748;2 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;CASALIVA;STRADA DI SEM;6;;37011;0457211350;0457211350;info@casaliva.it;www.casaliva.it;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;Si;No;Si;Si;No;;49238;42839;4 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;CORTE CASALIVA;Contrada Rocca,;8;;37011;045/7211350;045/7211350;info@casaliva.it;www.casalica.it;garda;No;No;No;No;Si;No;Si;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;Si;Si;Si;No;Si;No;No;;49392;42844;4 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;LA ZERLA 1;LOCALITA\' CA\' BOTTURA;3/A;;37011;045 6211299;045 6228735;info@lazerla.it;;garda;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;;96583;42748;3 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;LA ZERLA 2;LOCALITA\' CA\' BOTTURA;42797;;37011;045 6211299;045 6228735;info@lazerla.it;www.lazerla.it;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;Si;Si;No;Si;No;No;;98182;42748;3 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;LOCANDA ARIZONA;Strada Spinarol;16;;37011;0457235452;0456264876;info@arizonalocanda.com;www.arizonalocanda.com;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;FRIGO BAR;327;42830;2 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;LOCANDA CORTE MONTIONI;LOCALITA\' MONTIONI;3;;37011;045 4743116;;info@locandacortemontioni.it;www.locandacortemontioni.it;garda;No;No;No;Si;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;Si;Si;No;No;Si;No;No;FROGOBAR - CASSETTE SICUREZZA;109222;42104;
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;LOCANDA LE PALAFITTE;VIA S. CRISTINA,;36;;37011;045/6212755;045/6228742;info@lepalafitte.it;www.lepalafitte.it;garda;No;No;No;Si;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;Si;No;Si;No;Si;No;No;;48749;42821;3 Leoni
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;VILLA CHARME;Piazza Serenissima;1;;37011;045 6210882;045 6210996;info@hotelgardenia.it;www.hotelgardenia.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;ARIA CONDIZIONATA NELLE CAMERE;324;42411;
BARDOLINO;VERONA;;AFFITTACAMERE;;2;;VILLA MADDALENA;Via San Colombano,;24;;37011;349 0996295;045 6211143;info@villa-maddalena.com;www.villa-maddalena.com;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;Si;Si;Si;No;Si;No;No;piscina scoperta, idromassaggio, solarium, tv sat, wi-fi gratuito, biciclette.;48394;42051;
BARDOLINO;VERONA;;AFFITTACAMERE;;3;;CAMPAGNARI ANGELINA;Via San Colombano;4;;37011;0457210727;;;;garda;No;No;No;Si;Si;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;;323;42782;
BARDOLINO;VERONA;;AFFITTACAMERE;;3;;CLARA E LUCIANO;Via Borgo Cavour,;18;;37011;0456210244;;cameredaluciano@gmail.com;;garda;No;No;No;No;No;No;No;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;;316;42640;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO CA CASTELLANI;Strada Galeazzo;1;;37011;345-8522390;;;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;182768;42874;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO CAMERLENGO;via Peschiera;66;;37011;045.8005398 - 330.479062;;agercam@libero.it;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;50457;42668;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO CANTARANE DI ROSSI PALMA;Localit  Cantarane;1;;37011;3405255182;;info@cantarane.it;www.cantarane.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;45186;39927;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO CA ZERBETTO;;;;37011;;;;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;199665;42949;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO LA QUERCIA BELVEDERE RELAIS;via Belvedere Sopra Paerno;42742;;37011;045 6210884 - 335 6854603;045 8240926;info@querciabelvedere.it;www.querciabelvedere.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;74120;41962;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO LA ROCCA;VIA  STRADA DI SEM, 4;;;37011;0457210964;0457210964;info@agriturismo-larocca.it;www.agriturismo-larocca.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18367;42898;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO LE CAMPAGNOLE DI MARCHESINI ROMANO;Fraz. Calmasino - Via Campagnole;2;;37011;+39-045-6261490 / +39-349-3337957;+39-045-6261490;info@agriturismocampagnole.com;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;48214;40017;
BARDOLINO;VERONA;;AGRITURISMO;;;;AGRITURISMO LE VAI DI CERADINI MASSIMO;Localit  Le Vai - fr. Calmasino;3;;37011;045 7235230 - 335 5427077;045 7235230;info@agriturismolevai.com;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;73200;42668;
BARDOLINO;VERONA;;AGRITURISMO;;;;AI CILIEGI DI LAVARINI SANDRO;Localit  Colombara;2/a;;37011;340.6840569;;info@agriturismoaiciliegi.it;www.agriturismoaiciliegi.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;51812;42767;
BARDOLINO;VERONA;;AGRITURISMO;;;;AZIENDA AGRICOLA RAVAL;Localit  Raval;1;;37011;045.7236569;045.7236569;aziendaagricolaraval@gmail.com;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;49796;42710;
BARDOLINO;VERONA;;AGRITURISMO;;;;CA\' LICANTE;STRADA DELLA VALSORDA;6;;37011;0456211056;0456211056;info@agriturismocalicante.com;www.agriturismocalicante.com;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18364;40213;
BARDOLINO;VERONA;;AGRITURISMO;;;;COSTADORO;VIA COSTA D\'ORO;3;;37011;0457211668;0456210493;info@agriturismocostadoro.com;www.agriturismocostadoro.com;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18365;42696;
BARDOLINO;VERONA;;AGRITURISMO;;;;DELLA PIEVE;Via Pal ;7;;37010;045 - 7235239;045 - 7235239;info@agriturismodellapieve.it;www.agriturismodellapieve.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18369;41093;
BARDOLINO;VERONA;;AGRITURISMO;;;;IL MELOGRANO DI CANIATO GIORGIO;localit  Corrubio;4;;37011;337 917874 - 347 8828951;045 7236996;melograno.bardolino@gmail.com;www.agriturismo-ilmelograno.net;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;50464;42912;
BARDOLINO;VERONA;;AGRITURISMO;;;;PRATI PALAI;Strada Palai;11;;37011;342 5291971;;info@pratipalai.it;www.pratipalai.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;101242;43019;
BARDOLINO;VERONA;;AGRITURISMO;;;;SOLELUNA DI BONATI DAMIANO;Contrada Ceola;19;;37011;045 7210065 - 370 7241618;;info@bb-soleluna.com;;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;59580;42689;
BARDOLINO;VERONA;;AGRITURISMO;;;;TENUTA LA PERGOLA;via della Pergola;10;;37011;045 6210668 - 328 8023075 - 338 9224529;;info@tenutalapergola.com;www.tenutalapergola.com;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;56120;42143;
BARDOLINO;VERONA;;AGRITURISMO;;;;TRE COLLINE;Via Pal ;26;;37011;045 7235219;045 6264645;info@trecollinebardolino.it;www.trecollinebardolino.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;18370;42416;
BARDOLINO;VERONA;;AGRITURISMO;;;;VILLA CALICANTUS DI DELAINI DANIELE;via Verona;17;;37011;340 3666740;;info@villacalicantus.it;www.villacalicantus.it;garda;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;97862;42912;
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;AIDA (DIPENDENZA KRISS INTERNAZIONALE);Via Mirabello;;;37011;0456212433;0454852099;aida@kriss.it;www.hotel-aida.it;garda;No;No;No;Si;Si;No;No;No;No;No;Si;Si;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;2732;42751;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO BENACUS - GARN ;Via Madonnina;11;;37011;0456210282;0456210283;info@hotelbenacus.it;www.hotelbenacus.it;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2745;42550;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO MARINA;Via G. Marconi;15;;37011;0457210177;0456212231;info@hotel-marina.it;www.hotel-marina.it;garda;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;Si;No;Si;No;No;WI-FI;2725;42748;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO SANTA MARIA;Via Guglielmo Marconi;11;;37011;0457210101;0456212066;info@hotel-santamaria.it;www.hotel-santamaria.it;garda;No;Si;No;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2749;42438;
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;ALBERGO VALBELLA;Via San Colombano;38;;37011;0456212483;0456212483;info@valbellabardolino.com;www.valbellabardolino.com;garda;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;No;;2714;42825;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;B CITY HOTEL;Via Santa Cristina;42827;;37011;045 6210634;045 6228630;info@hotelgiobardolino.it;www.hotelgiobardolino.com;garda;No;No;No;Si;Si;No;Si;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;2756;42746;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;HOTEL BARDOLINO;Via Santa Cristina;19;;37011;0457210403;;info@hbardolino.it;;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2713;43018;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;HOTEL ORCHIDEA;Via Madonnina;1;;37011;0457210158;0456210526;info@hotelorchideaonline.com;www.hotelorchideaonline.com;garda;No;No;No;No;Si;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;2708;42835;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;TAORMINA;Via G. da Verazzano;1;;37011;0456212793;0456227197;info@hoteltaorminabardolino.it;www.hoteltaorminabardolino.it;garda;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;Si;No;;2746;42835;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;VITTORIA;Borgo Cavour;38;;37011;0457210100 - 0457210560;0456212585;info@hotelvittoriabardolino.com;www.hotelvittoriabardolino.com;garda;No;No;No;Si;Si;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2740;42885;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;2 **;VITTORIA DIPENDENZA;Borgo Cavour;38;;37011;0457210100 - 0457210560;0456212585;info@hotelvittoria.vr.it;www.hotelvittoria.vr.it;garda;No;No;No;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2768;42885;2 **
BARDOLINO;VERONA;;ALBERGO;Albergo;;3 ***;ALBERGO AL SOLE;Via San Colombano;5;;37011;0457210822;0456212520;al-sole@kriss.it;www.alsole.it;garda;No;Si;No;No;Si;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Si;No;Si;Si;Si;No;No;;2723;42829;3 ***
BARDOLINO;VERONA;;ALBERGO;Albergo;;3 ***;ALBERGO BOLOGNA;Via Mirabello;19;;37011;0457210003;0457210564;info@hotelbologna.info;www.hotelbologna.info;garda;No;Si;No;No;Si;No;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;2711;42832;3 ***
BARDOLINO;VERONA;;ALBERGO;Albergo;;3 ***;ALBERGO PARADISO;Via S. Cristina;13;;37011;0457210151;0457210151 - 0456227162;info@paradisohotel.info;www.paradisohotel.info;garda;No;Si;No;Si;Si;No;Si;No;No;No;No;Si;No;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;2742;42822;3 ***
BARDOLINO;VERONA;;ALBERGO;Albergo;;3 ***;ALLA RIVIERA;Lungolago Lenotti;12;;37011;0456212600;;info@allariviera.it;www.allariviera.it;garda;No;Si;No;No;Si;No;Si;No;No;No;Si;Si;Si;No;Si;No;No;No;No;No;No;No;No;Si;No;Si;No;No;SOLARIUM - BOE ORMEGGIO - PISCINA RISCALDATA;2758;42795;3 ***
BARDOLINO;VERONA;;ALBERGO;Albergo;;3 ***;CATULLO DIPENDENZA;Lungolago Lenotti;8;;37011;0457210911- 0457210008;0456212576;info@hotelcatullobardolino.it;www.hotelcatullobardolino.it;garda;No;Si;No;Si;Si;No;Si;No;No;No;No;No;Si;No;Si;No;No;No;No;No;No;No;No;Si;Si;Si;No;No;;2728;42748;3 ***
BARDOLINO;VERONA;;ALBERGO;Albergo;;3 ***;HOTEL AL PARCO;Via Fosse;20;;37011;0457210039 - 0456212685;0457210039 - 0456212685;info@hotelalparco.it;www.hotelalparco.it;garda;No;Si;No;No;Si;No;Si;No;No;No;No;No;Si;No;No;No;No;No;No;No;No;No;No;Si;No;Si;No;No;;2741;42747;3 ***
